,median_pre,median_post_conv,mean_pre,mean_post_all,mean_post_conv,Δ_median_postconv,Δ_mean_post_all,Δ_mean_post_conv
HighBP,1.0,1.0,0.7526735698523171,0.7526735698523171,0.9712487240558013,0.0,0.0,0.21857515420348417
HighChol,1.0,1.0,0.6701182594918803,0.6701182594918803,0.9220823409322899,0.0,0.0,0.2519640814404096
CholCheck,1.0,1.0,0.9931816895829797,0.9931816895829797,0.9986389928547125,0.0,0.0,0.005457303271732772
BMI,31.0,27.405983282365515,31.94401063769592,30.1112821752379,27.685842083354686,-3.594016717634485,-1.8327284624580216,-4.2581685543412355
Smoker,1.0,1.0,0.5182198834380128,0.5182198834380128,0.5624362027900647,0.0,0.0,0.044216319352051836
Stroke,0.0,0.0,0.09245742092457421,0.09245742092457421,0.21027560394692071,0.0,0.0,0.1178181830223465
HeartDiseaseorAttack,0.0,0.0,0.22288236292649805,0.22288236292649805,0.4411364409663152,0.0,0.0,0.21825407803981717
PhysActivity,1.0,0.0,0.6305381089797997,0.6305381089797997,0.4618917999319496,-1.0,0.0,-0.16864630904785005
Fruits,1.0,1.0,0.5854410682962712,0.5854410682962712,0.5398094589996597,0.0,0.0,-0.045631609296611475
Veggies,1.0,1.0,0.7564080801222204,0.7564080801222204,0.6876488601565158,0.0,0.0,-0.06875921996570455
HvyAlcoholConsump,0.0,0.0,0.02353873139817801,0.02353873139817801,0.0011908812521265737,0.0,0.0,-0.022347850146051437
AnyHealthcare,1.0,1.0,0.9597691393651333,0.9597691393651333,0.9644436883293638,0.0,0.0,0.004674548964230474
NoDocbcCost,0.0,0.0,0.10586770780286313,0.10586770780286313,0.12555290915277306,0.0,0.0,0.019685201349909934
GenHlth,3.0,4.0,3.290980591863294,3.2908957166298873,4.1913916298060565,1.0,-8.487523340683367e-05,0.9004110379427623
MentHlth,0.0,0.0,4.461806144966899,4.461806144966899,6.739707383463763,0.0,0.0,2.277901238496864
PhysHlth,1.0,14.0,7.954478583149437,7.954478583149437,14.828172847907451,13.0,0.0,6.873694264758014
DiffWalk,0.0,1.0,0.37121597917727606,0.37121597917727606,0.7490643075876149,1.0,0.0,0.37784832841033883
Sex,0.0,0.0,0.4791206925819046,0.4791206925819046,0.48860156515821707,0.0,0.0,0.009480872576312471
Age,10.0,10.0,9.379052792395179,9.379052792395179,9.511568560734943,0.0,0.0,0.13251576833976486
Education,5.0,4.0,4.74551575850167,4.74551575850167,4.481796529431779,-1.0,0.0,-0.2637192290698902
Income,6.0,4.0,5.210094494426526,5.210094494426526,4.236474991493705,-2.0,0.0,-0.973619502932821
